0.02.864.567 I slot print_timing: id 63 | task 0 | prompt eval time =      17.12 ms /     8 tokens (    2.14 ms per token,   467.37 tokens per second)
0.02.864.577 I slot print_timing: id 63 | task 0 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token, 1000000.00 tokens per second)
0.02.864.578 I slot print_timing: id 63 | task 0 |       total time =      17.12 ms /     9 tokens
0.02.864.582 I slot print_timing: id 63 | task 0 |    graphs reused =          1
0.08.803.305 I slot print_timing: id  0 | task 64 | n_decoded =    100, tg =  18.18 t/s, tg_3s =  18.18 t/s
0.08.803.702 I slot print_timing: id  1 | task 63 | n_decoded =    100, tg =  18.18 t/s, tg_3s =  18.18 t/s
0.08.804.091 I slot print_timing: id  2 | task 62 | n_decoded =    100, tg =  18.19 t/s, tg_3s =  18.19 t/s
0.08.804.494 I slot print_timing: id  3 | task 61 | n_decoded =    100, tg =  18.19 t/s, tg_3s =  18.19 t/s
0.08.804.899 I slot print_timing: id  4 | task 60 | n_decoded =    100, tg =  18.19 t/s, tg_3s =  18.19 t/s
0.08.805.276 I slot print_timing: id  5 | task 59 | n_decoded =    100, tg =  18.20 t/s, tg_3s =  18.20 t/s
0.08.805.672 I slot print_timing: id  6 | task 58 | n_decoded =    100, tg =  18.20 t/s, tg_3s =  18.20 t/s
0.08.806.058 I slot print_timing: id  7 | task 57 | n_decoded =    100, tg =  18.20 t/s, tg_3s =  18.20 t/s
0.08.843.613 I slot print_timing: id  8 | task 56 | n_decoded =    100, tg =  18.90 t/s, tg_3s =  18.90 t/s
0.08.843.993 I slot print_timing: id  9 | task 54 | n_decoded =    100, tg =  18.91 t/s, tg_3s =  18.90 t/s
0.08.844.364 I slot print_timing: id 10 | task 55 | n_decoded =    100, tg =  18.91 t/s, tg_3s =  18.91 t/s
0.08.844.755 I slot print_timing: id 11 | task 53 | n_decoded =    100, tg =  18.91 t/s, tg_3s =  18.91 t/s
0.08.845.127 I slot print_timing: id 12 | task 52 | n_decoded =    100, tg =  18.92 t/s, tg_3s =  18.92 t/s
0.08.845.515 I slot print_timing: id 13 | task 50 | n_decoded =    100, tg =  18.92 t/s, tg_3s =  18.92 t/s
0.08.845.888 I slot print_timing: id 14 | task 51 | n_decoded =    100, tg =  18.92 t/s, tg_3s =  18.92 t/s
0.08.886.959 I slot print_timing: id 15 | task 49 | n_decoded =    100, tg =  19.63 t/s, tg_3s =  19.63 t/s
0.08.887.337 I slot print_timing: id 16 | task 47 | n_decoded =    100, tg =  19.64 t/s, tg_3s =  19.64 t/s
0.08.887.727 I slot print_timing: id 17 | task 48 | n_decoded =    100, tg =  19.64 t/s, tg_3s =  19.64 t/s
0.08.888.107 I slot print_timing: id 18 | task 46 | n_decoded =    100, tg =  19.64 t/s, tg_3s =  19.64 t/s
0.08.888.494 I slot print_timing: id 19 | task 45 | n_decoded =    100, tg =  19.65 t/s, tg_3s =  19.65 t/s
0.08.888.910 I slot print_timing: id 20 | task 44 | n_decoded =    100, tg =  19.65 t/s, tg_3s =  19.65 t/s
0.08.889.283 I slot print_timing: id 21 | task 43 | n_decoded =    100, tg =  19.66 t/s, tg_3s =  19.66 t/s
0.08.889.676 I slot print_timing: id 22 | task 42 | n_decoded =    100, tg =  19.66 t/s, tg_3s =  19.66 t/s
0.08.926.801 I slot print_timing: id 23 | task 41 | n_decoded =    100, tg =  20.43 t/s, tg_3s =  20.43 t/s
0.08.927.180 I slot print_timing: id 24 | task 40 | n_decoded =    100, tg =  20.43 t/s, tg_3s =  20.43 t/s
0.08.927.583 I slot print_timing: id 25 | task 39 | n_decoded =    100, tg =  20.43 t/s, tg_3s =  20.43 t/s
0.08.927.970 I slot print_timing: id 26 | task 38 | n_decoded =    100, tg =  20.44 t/s, tg_3s =  20.44 t/s
0.08.928.341 I slot print_timing: id 27 | task 37 | n_decoded =    100, tg =  20.44 t/s, tg_3s =  20.44 t/s
0.08.928.726 I slot print_timing: id 28 | task 36 | n_decoded =    100, tg =  20.45 t/s, tg_3s =  20.45 t/s
0.08.929.112 I slot print_timing: id 29 | task 35 | n_decoded =    100, tg =  20.45 t/s, tg_3s =  20.45 t/s
0.08.929.499 I slot print_timing: id 30 | task 34 | n_decoded =    100, tg =  20.46 t/s, tg_3s =  20.46 t/s
0.08.965.259 I slot print_timing: id 31 | task 32 | n_decoded =    100, tg =  21.29 t/s, tg_3s =  21.29 t/s
0.08.965.641 I slot print_timing: id 32 | task 33 | n_decoded =    100, tg =  21.29 t/s, tg_3s =  21.29 t/s
0.08.966.012 I slot print_timing: id 33 | task 31 | n_decoded =    100, tg =  21.30 t/s, tg_3s =  21.30 t/s
0.08.966.374 I slot print_timing: id 34 | task 30 | n_decoded =    100, tg =  21.30 t/s, tg_3s =  21.30 t/s
0.08.966.755 I slot print_timing: id 35 | task 29 | n_decoded =    100, tg =  21.31 t/s, tg_3s =  21.31 t/s
0.08.985.391 I slot print_timing: id 36 | task 28 | n_decoded =    100, tg =  21.31 t/s, tg_3s =  21.23 t/s
0.08.985.782 I slot print_timing: id 37 | task 27 | n_decoded =    100, tg =  21.24 t/s, tg_3s =  21.23 t/s
0.08.986.164 I slot print_timing: id 38 | task 26 | n_decoded =    100, tg =  21.24 t/s, tg_3s =  21.24 t/s
0.09.022.268 I slot print_timing: id 39 | task 25 | n_decoded =    100, tg =  22.16 t/s, tg_3s =  22.16 t/s
0.09.022.711 I slot print_timing: id 40 | task 24 | n_decoded =    100, tg =  22.17 t/s, tg_3s =  22.17 t/s
0.09.023.091 I slot print_timing: id 41 | task 23 | n_decoded =    100, tg =  22.17 t/s, tg_3s =  22.17 t/s
0.09.023.480 I slot print_timing: id 42 | task 22 | n_decoded =    100, tg =  22.18 t/s, tg_3s =  22.18 t/s
0.09.023.863 I slot print_timing: id 43 | task 21 | n_decoded =    100, tg =  22.19 t/s, tg_3s =  22.18 t/s
0.09.024.242 I slot print_timing: id 44 | task 20 | n_decoded =    100, tg =  22.19 t/s, tg_3s =  22.19 t/s
0.09.024.625 I slot print_timing: id 45 | task 18 | n_decoded =    100, tg =  22.20 t/s, tg_3s =  22.20 t/s
0.09.025.016 I slot print_timing: id 46 | task 19 | n_decoded =    100, tg =  22.20 t/s, tg_3s =  22.20 t/s
0.09.060.869 I slot print_timing: id 47 | task 17 | n_decoded =    100, tg =  23.21 t/s, tg_3s =  23.21 t/s
0.09.061.259 I slot print_timing: id 48 | task 16 | n_decoded =    100, tg =  23.22 t/s, tg_3s =  23.21 t/s
0.09.061.668 I slot print_timing: id 49 | task 15 | n_decoded =    100, tg =  23.22 t/s, tg_3s =  23.22 t/s
0.09.062.053 I slot print_timing: id 50 | task 14 | n_decoded =    100, tg =  23.23 t/s, tg_3s =  23.23 t/s
0.09.062.450 I slot print_timing: id 51 | task 13 | n_decoded =    100, tg =  23.23 t/s, tg_3s =  23.23 t/s
0.09.062.836 I slot print_timing: id 52 | task 12 | n_decoded =    100, tg =  23.24 t/s, tg_3s =  23.24 t/s
0.09.063.216 I slot print_timing: id 53 | task 11 | n_decoded =    100, tg =  23.25 t/s, tg_3s =  23.24 t/s
0.09.063.598 I slot print_timing: id 54 | task 9 | n_decoded =    100, tg =  23.25 t/s, tg_3s =  23.25 t/s
0.09.119.354 I slot print_timing: id 55 | task 10 | n_decoded =    100, tg =  24.26 t/s, tg_3s =  24.26 t/s
0.09.119.803 I slot print_timing: id 56 | task 8 | n_decoded =    100, tg =  24.27 t/s, tg_3s =  24.27 t/s
0.09.120.177 I slot print_timing: id 57 | task 7 | n_decoded =    100, tg =  24.27 t/s, tg_3s =  24.27 t/s
0.09.120.563 I slot print_timing: id 58 | task 6 | n_decoded =    100, tg =  24.28 t/s, tg_3s =  24.28 t/s
0.09.120.928 I slot print_timing: id 59 | task 5 | n_decoded =    100, tg =  24.29 t/s, tg_3s =  24.29 t/s
0.09.121.306 I slot print_timing: id 60 | task 4 | n_decoded =    100, tg =  24.29 t/s, tg_3s =  24.29 t/s
0.09.121.727 I slot print_timing: id 61 | task 3 | n_decoded =    100, tg =  24.30 t/s, tg_3s =  24.30 t/s
0.09.122.096 I slot print_timing: id 62 | task 2 | n_decoded =    100, tg =  24.31 t/s, tg_3s =  24.31 t/s
0.09.158.201 I slot print_timing: id 63 | task 65 | n_decoded =    100, tg =  24.39 t/s, tg_3s =  24.39 t/s
0.11.804.884 I slot print_timing: id  0 | task 64 | n_decoded =    175, tg =  20.58 t/s, tg_3s =  24.99 t/s
0.11.805.422 I slot print_timing: id  1 | task 63 | n_decoded =    175, tg =  20.58 t/s, tg_3s =  24.99 t/s
0.11.805.968 I slot print_timing: id  2 | task 62 | n_decoded =    175, tg =  20.59 t/s, tg_3s =  24.98 t/s
0.11.806.507 I slot print_timing: id  3 | task 61 | n_decoded =    175, tg =  20.59 t/s, tg_3s =  24.98 t/s
0.11.807.060 I slot print_timing: id  4 | task 60 | n_decoded =    175, tg =  20.59 t/s, tg_3s =  24.98 t/s
0.11.807.595 I slot print_timing: id  5 | task 59 | n_decoded =    175, tg =  20.59 t/s, tg_3s =  24.98 t/s
0.11.807.966 I slot print_timing: id  6 | task 58 | n_decoded =    175, tg =  20.60 t/s, tg_3s =  24.98 t/s
0.11.808.341 I slot print_timing: id  7 | task 57 | n_decoded =    175, tg =  20.60 t/s, tg_3s =  24.98 t/s
0.11.844.273 I slot print_timing: id  8 | task 56 | n_decoded =    175, tg =  21.11 t/s, tg_3s =  24.99 t/s
0.11.844.654 I slot print_timing: id  9 | task 54 | n_decoded =    175, tg =  21.11 t/s, tg_3s =  24.99 t/s
0.11.845.029 I slot print_timing: id 10 | task 55 | n_decoded =    175, tg =  21.11 t/s, tg_3s =  24.99 t/s
0.11.845.414 I slot print_timing: id 11 | task 53 | n_decoded =    175, tg =  21.11 t/s, tg_3s =  24.99 t/s
0.11.845.800 I slot print_timing: id 12 | task 52 | n_decoded =    175, tg =  21.12 t/s, tg_3s =  24.99 t/s
0.11.846.182 I slot print_timing: id 13 | task 50 | n_decoded =    175, tg =  21.12 t/s, tg_3s =  24.99 t/s
0.11.846.568 I slot print_timing: id 14 | task 51 | n_decoded =    175, tg =  21.12 t/s, tg_3s =  24.99 t/s
0.11.890.738 I slot print_timing: id 15 | task 49 | n_decoded =    175, tg =  21.61 t/s, tg_3s =  24.97 t/s
0.11.891.272 I slot print_timing: id 16 | task 47 | n_decoded =    175, tg =  21.61 t/s, tg_3s =  24.97 t/s
0.11.891.821 I slot print_timing: id 17 | task 48 | n_decoded =    175, tg =  21.62 t/s, tg_3s =  24.97 t/s
0.11.892.198 I slot print_timing: id 18 | task 46 | n_decoded =    175, tg =  21.62 t/s, tg_3s =  24.97 t/s
0.11.892.592 I slot print_timing: id 19 | task 45 | n_decoded =    175, tg =  21.62 t/s, tg_3s =  24.97 t/s
0.11.892.980 I slot print_timing: id 20 | task 44 | n_decoded =    175, tg =  21.63 t/s, tg_3s =  24.97 t/s
0.11.893.365 I slot print_timing: id 21 | task 43 | n_decoded =    175, tg =  21.63 t/s, tg_3s =  24.97 t/s
0.11.893.755 I slot print_timing: id 22 | task 42 | n_decoded =    175, tg =  21.63 t/s, tg_3s =  24.97 t/s
0.11.929.292 I slot print_timing: id 23 | task 41 | n_decoded =    175, tg =  22.16 t/s, tg_3s =  24.98 t/s
0.11.929.674 I slot print_timing: id 24 | task 40 | n_decoded =    175, tg =  22.16 t/s, tg_3s =  24.98 t/s
0.11.930.049 I slot print_timing: id 25 | task 39 | n_decoded =    175, tg =  22.16 t/s, tg_3s =  24.98 t/s
