Generating SQLite file /workspace/traces/decode500_tuned.sqlite from /workspace/traces/decode500_tuned.nsys-rep
Processing [/workspace/traces/decode500_tuned.sqlite] with [/opt/nvidia/nsight-systems/2024.2.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     46.8       1384499794      16611   83348.4   67776.0     65504    542211      81502.4  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params) 
     16.7        494083331      14308   34532.0   34497.0     33696     35713        255.6  ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn                                           
     15.8        466579879      14308   32609.7   32448.0     13664     52577      11147.6  void redline::kernels::<unnamed>::PagedAttentionDecodeKernel<(int)256>(__half *, long, const __half…
     10.0        297432285      32200    9237.0    9248.0      7776     12960        865.1  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Param…
      2.4         69749578       1792   38922.8   38944.0     37184     40896        608.7  ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_tn                                          
      2.1         62759131      32200    1949.0    1920.0      1760      2784        168.9  void redline::kernels::<unnamed>::RmsNormResidualVecKernel<(int)512, (int)2>(__half2 *, __half2 *, …
      1.2         36314790      16100    2255.6    2144.0      2048      3392        350.7  redline::kernels::<unnamed>::SiluMulHalf2Kernel(__half2 *, const __half2 *, long, int, int)         
      1.1         31252683         64  488323.2  488324.0    487971    488580        151.4  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (b…
      0.9         26439999      16100    1642.2    1600.0      1567      2080         87.4  redline::kernels::<unnamed>::RopeInplaceSharedKernel(__half *, __half *, long, long, const int *, i…
      0.9         25289742      16100    1570.8    1536.0      1471      2017        140.3  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, _…
      0.7         20535213      16100    1275.5    1248.0      1152      1567         48.2  void redline::kernels::<unnamed>::KvScatterKernel<uint4>(__half *, const __half *, const __half *, …
      0.4         10969487        575   19077.4   20512.0      7103     20769       4117.6  void redline::kernels::<unnamed>::GreedyArgmaxVecKernel<(int)1024>(int *, const __half *, int, int) 
      0.4         10633059       3584    2966.8    2944.0      2751      3233         96.9  void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
      0.4         10458103       1792    5836.0    5888.0      5535      6240        136.7  redline::kernels::<unnamed>::PrefillCausalSoftmaxKernel(__half *, const float *, int, int, int)     
      0.3          9137259       3584    2549.5    2528.0      2367      2784         86.3  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_128x2_tn_align2>(T1::Params)   
      0.1          2163322       1792    1207.2    1216.0      1120      1249         30.6  void redline::kernels::<unnamed>::KvGatherKernel<uint4>(__half *, __half *, long, long, long, long,…
      0.0          1054446        575    1833.8    1792.0      1727      2304        128.7  void redline::kernels::<unnamed>::RmsNormVecKernel<(int)512, (int)2>(__half2 *, const __half2 *, co…
      0.0           915176        575    1591.6    1568.0      1472      1984         93.6  redline::kernels::<unnamed>::EmbedGatherVec8Kernel(__half *, long, const __half *, const int *, int)

