
NOTICE: Existing SQLite export found: /workspace/traces/decode500.sqlite
        It is assumed file was previously exported from: /workspace/traces/decode500.nsys-rep
        Consider using --force-export=true if needed.

Processing [/workspace/traces/decode500.sqlite] with [/opt/nvidia/nsight-systems/2024.2.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     46.0       1383002808      16611   83258.3   67744.0     65280    542306      81501.4  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params) 
     16.4        493660688      14308   34502.4   34496.0     33792     36001        248.1  ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn                                           
     15.5        465094119      14308   32505.9   32448.5     13504     52737      11180.9  void redline::kernels::<unnamed>::PagedAttentionDecodeKernel<(int)256>(__half *, long, const __half…
      9.9        296462606      32200    9206.9    9248.0      7775     12960        811.4  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Param…
      3.6        106890016      32200    3319.6    3360.0      2911      4256        227.4  redline::kernels::<unnamed>::RmsNormResidualKernel(__half *, __half *, const __half *, const __half…
      2.3         69440675       1792   38750.4   38752.0     36960     40769        605.5  ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_tn                                          
      1.2         36215501      16100    2249.4    2144.0      2048      3360        326.5  redline::kernels::<unnamed>::SiluMulHalf2Kernel(__half2 *, const __half2 *, long, int, int)         
      1.0         31248142         64  488252.2  488259.0    487779    488771        195.9  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (b…
      1.0         29842641      16100    1853.6    1792.0      1728      2656        186.7  redline::kernels::<unnamed>::RopeInplaceKernel(__half *, __half *, long, long, const int *, int, in…
      0.8         25338036      16100    1573.8    1536.0      1472      2047        122.8  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, _…
      0.7         20546371      16100    1276.2    1249.0      1120      1536         45.3  void redline::kernels::<unnamed>::KvScatterKernel<uint4>(__half *, const __half *, const __half *, …
      0.4         12977320        575   22569.3   23905.0     10944     24640       3952.9  redline::kernels::<unnamed>::GreedyArgmaxKernel(int *, const __half *, int, int)                    
      0.3         10362997       3584    2891.5    2880.0      2751      3168        101.7  void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align1>(T1::Params)
      0.3         10205353       1792    5695.0    5600.0      5535      6176        159.3  redline::kernels::<unnamed>::PrefillCausalSoftmaxKernel(__half *, const float *, int, int, int)     
      0.3          8860532       3584    2472.2    2464.0      2335      2784         85.4  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_128x2_tn_align2>(T1::Params)   
      0.1          2106640       1792    1175.6    1152.0      1119      1249         36.3  void redline::kernels::<unnamed>::KvGatherKernel<uint4>(__half *, __half *, long, long, long, long,…
      0.1          1510391        575    2626.8    2592.0      2495      3136        141.0  redline::kernels::<unnamed>::RmsNormKernel(__half *, const __half *, const __half *, int, int, floa…
      0.0          1155341        575    2009.3    1984.0      1919      2336         66.9  redline::kernels::<unnamed>::EmbedGatherHalf2Kernel(__half *, long, const __half *, const int *, in…

